stars,amounts seen
Baby Boom Galaxy,9
Pollux,8
Bootes,8
Aquila,8
Alcor,8
Sgr A*,7
Orion,7
Ngc4555,7
Mizar,7
Lmc,7
Castor,7
Sirius,6
Sagittarius,6
Polaris,6
M31,6
Dorado,6
Auriga,6
Altair,6
Taurus,5
Spica,5
Smc,5
Rigel,5
Ngc6357,5
Ngc6334,5
Ngc4676,5
M60,5
Lyra,5
Gn-z11,5
Canis Minor,5
Betelgeuse,5
Arcturus,5
Zeta Ophiuchi,4
Vega,4
Ursa Major,4
T Tauri,4
Sextans,4
Rho Ophiuchi Cloud Complex,4
Perseus,4
Ophiuchus,4
Ngc4038,4
Canis Major,4
Ursa Minor,3
Ngc1333,3
M8,3
M42,3
M104,3
Dragonfish Nebula,3
Cygnus,3
Corvus,3
Coma Berenices,3
Capella,3
Algol,3
Aldebaran,3
Virgo,2
Scorpius,2
Ngc5128,2
M101,2
Gemini,2
Deneb,2
Crux,2
Antares,2
30 Doradus,2
Tucana,1
Procyon,1
Andromeda,1
